# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 09.09.2024 по 09.09.2025, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.07.2025 21:00";"28.2";"748.4";"761.2";"0.4";"45";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"34.6";"";"";"";"";"";"20.0";"15.2";"Осадков нет";"12";"";"";"";"";
"11.07.2025 18:00";"33.7";"748.0";"760.6";"0.3";"30";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.9";"Осадков нет";"12";"";"";"";"";
"11.07.2025 15:00";"34.1";"747.7";"760.2";"0.4";"32";"Ветер, дующий с юго-востока";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"15.0";"";"";"";"";"";"";
"11.07.2025 12:00";"32.7";"747.3";"759.8";"0.2";"35";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"15.3";"";"";"";"";"";"";
"11.07.2025 09:00";"28.5";"747.1";"759.7";"-0.2";"44";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"19.1";"";"";"";"";"";"";"20.0";"14.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"11.07.2025 06:00";"21.3";"747.3";"760.3";"-0.1";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"19.1";"";"";"";"";"";"";"20.0";"15.5";"Осадков нет";"12";"";"";"";"";
"11.07.2025 03:00";"20.7";"747.4";"760.5";"0.3";"71";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"15.3";"";"";"";"";"";"";
"11.07.2025 00:00";"23.8";"747.1";"760.0";"0.6";"59";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"15.4";"";"";"";"";"";"";
"10.07.2025 21:00";"27.3";"746.5";"759.2";"0.4";"39";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"33.9";"";"";"";"";"";"20.0";"12.1";"Осадков нет";"12";"";"";"";"";
"10.07.2025 18:00";"32.6";"746.1";"758.6";"0.0";"25";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.9";"Осадков нет";"12";"";"";"";"";
"10.07.2025 15:00";"33.6";"746.1";"758.5";"0.0";"24";"Ветер, дующий с юго-востока";"2";"";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"10.5";"";"";"";"";"";"";
"10.07.2025 12:00";"33.1";"746.1";"758.5";"0.3";"27";"Ветер, дующий с юго-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"11.7";"";"";"";"";"";"";
"10.07.2025 09:00";"29.0";"745.8";"758.5";"0.3";"42";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"19.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"14.7";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"10.07.2025 06:00";"22.4";"745.5";"758.4";"0.3";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"19.9";"";"";"";"";"";"";"20.0";"17.3";"Осадков нет";"12";"";"";"";"";
"10.07.2025 03:00";"20.8";"745.2";"758.2";"0.2";"84";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"18.0";"";"";"";"";"";"";
"10.07.2025 00:00";"22.1";"745.0";"757.9";"0.5";"73";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"17.1";"";"";"";"";"";"";
"09.07.2025 21:00";"24.4";"744.5";"757.3";"-0.3";"66";"Штиль, безветрие";"0";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"31.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"17.6";"0.6";"12";"";"";"";"";
"09.07.2025 18:00";"27.5";"744.8";"757.5";"0.1";"52";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"16.9";"0.6";"12";"";"";"";"";
"09.07.2025 15:00";"30.0";"744.7";"757.3";"-0.6";"52";"Ветер, дующий с юго-востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"19.0";"";"";"";"";"";"";
"09.07.2025 12:00";"25.8";"745.3";"758.0";"0.3";"70";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"20.0";"";"";"";"";"";"";
"09.07.2025 09:00";"24.9";"745.0";"757.9";"0.3";"72";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"19.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"19.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"09.07.2025 06:00";"21.5";"744.7";"757.6";"0.4";"85";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"19.3";"";"";"";"";"";"";"19.0";"18.8";"Осадков нет";"12";"";"";"";"";
"09.07.2025 03:00";"20.6";"744.3";"757.3";"0.9";"87";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"18.4";"";"";"";"";"";"";
"09.07.2025 00:00";"22.7";"743.4";"756.2";"1.5";"75";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"18.1";"";"";"";"";"";"";
"08.07.2025 21:00";"24.8";"741.9";"754.6";"1.4";"59";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"32.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"16.2";"Следы осадков";"12";"";"";"";"";
"08.07.2025 18:00";"30.9";"740.5";"753.0";"0.1";"46";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"18.0";"Следы осадков";"12";"";"";"";"";
"08.07.2025 15:00";"32.5";"740.4";"752.8";"-0.7";"41";"Ветер, дующий с юго-юго-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"19.0";"17.5";"";"";"";"";"";"";
"08.07.2025 12:00";"29.4";"741.1";"753.7";"-1.2";"47";"Ветер, дующий с юго-востока";"2";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"17.0";"";"";"";"";"";"";
"08.07.2025 09:00";"24.2";"742.3";"755.1";"-0.9";"55";"Ветер, дующий с юго-востока";"1";"";"";"50%.";" ";"";"";"18.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"19.0";"14.7";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"08.07.2025 06:00";"19.9";"743.2";"756.2";"-0.9";"68";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"18.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"13.7";"Осадков нет";"12";"";"";"";"";
"08.07.2025 03:00";"18.2";"744.1";"757.2";"-0.3";"76";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"13.8";"";"";"";"";"";"";
"08.07.2025 00:00";"21.4";"744.4";"757.4";"0.3";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.1";"";"";"";"";"";"";
"07.07.2025 21:00";"23.8";"744.1";"757.0";"0.0";"52";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"28.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"13.2";"Осадков нет";"12";"";"";"";"";
"07.07.2025 18:00";"27.3";"744.1";"756.8";"-0.5";"41";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"19.0";"12.8";"Осадков нет";"12";"";"";"";"";
"07.07.2025 15:00";"27.6";"744.6";"757.3";"-0.1";"40";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"50%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"12.8";"";"";"";"";"";"";
"07.07.2025 12:00";"26.7";"744.7";"757.5";"-0.3";"41";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"19.0";"12.3";"";"";"";"";"";"";
"07.07.2025 09:00";"23.5";"745.0";"757.8";"0.0";"52";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"17.3";"";"";"";"";"";"";"20.0";"13.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"07.07.2025 06:00";"18.0";"745.0";"758.2";"0.0";"66";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"17.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"11.5";"Осадков нет";"12";"";"";"";"";
"07.07.2025 03:00";"18.4";"745.0";"758.2";"-0.3";"59";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.2";"";"";"";"";"";"";
"07.07.2025 00:00";"19.4";"745.3";"758.3";"0.0";"54";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.7";"";"";"";"";"";"";
"06.07.2025 21:00";"20.4";"745.3";"758.4";"-0.2";"50";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"22.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.5";"Осадков нет";"12";"";"";"";"";
"06.07.2025 18:00";"21.5";"745.5";"758.5";"-1.2";"50";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.7";"Осадков нет";"12";"";"";"";"";
"06.07.2025 15:00";"20.1";"746.7";"759.8";"-0.9";"55";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"10.7";"";"";"";"";"";"";
"06.07.2025 12:00";"18.8";"747.6";"760.7";"-0.5";"57";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"10.1";"";"";"";"";"";"";
"06.07.2025 09:00";"15.0";"748.1";"761.5";"0.5";"75";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"11.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"19.0";"10.6";"Следы осадков";"12";"Поверхность почвы влажная.";"12.0";"";"";
"06.07.2025 06:00";"15.7";"747.6";"760.9";"-0.3";"55";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"11.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.5";"Осадков нет";"12";"";"";"";"";
"06.07.2025 03:00";"11.5";"747.9";"761.4";"-0.1";"77";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"7.5";"";"";"";"";"";"";
"06.07.2025 00:00";"13.3";"748.0";"761.4";"0.5";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.5";"";"";"";"";"";"";
"05.07.2025 21:00";"17.7";"747.5";"760.7";"1.0";"38";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"21.1";"";"";"";"";"";"20.0";"3.3";"Осадков нет";"12";"";"";"";"";
"05.07.2025 18:00";"20.7";"746.5";"759.5";"0.1";"36";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.1";"Осадков нет";"12";"";"";"";"";
"05.07.2025 15:00";"20.8";"746.4";"759.4";"-0.3";"36";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.1";"";"";"";"";"";"";
"05.07.2025 12:00";"19.2";"746.7";"759.8";"-0.3";"44";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.6";"";"";"";"";"";"";
"05.07.2025 09:00";"16.7";"747.0";"760.2";"0.4";"59";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"13.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"8.7";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"05.07.2025 06:00";"15.0";"746.6";"759.9";"0.0";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"13.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"9.7";"Осадков нет";"12";"";"";"";"";
"05.07.2025 03:00";"14.5";"746.6";"759.9";"-0.1";"77";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.4";"";"";"";"";"";"";
"05.07.2025 00:00";"15.8";"746.7";"760.0";"0.8";"70";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.4";"";"";"";"";"";"";
"04.07.2025 21:00";"20.5";"745.9";"758.9";"1.4";"51";"Ветер, дующий с северо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"27.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.9";"Осадков нет";"12";"";"";"";"";
"04.07.2025 18:00";"24.0";"744.5";"757.4";"0.1";"38";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.9";"Осадков нет";"12";"";"";"";"";
"04.07.2025 15:00";"23.9";"744.4";"757.2";"-0.1";"52";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.3";"";"";"";"";"";"";
"04.07.2025 12:00";"23.1";"744.5";"757.3";"0.8";"69";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"50%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"17.1";"";"";"";"";"";"";
"04.07.2025 09:00";"26.2";"743.7";"756.4";"-0.6";"57";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"16.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"17.0";"Осадков нет";"12";"Поверхность почвы влажная.";"15.0";"";"";
"04.07.2025 06:00";"20.0";"744.3";"757.3";"-0.6";"83";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"16.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"17.0";"Осадков нет";"12";"";"";"";"";
"04.07.2025 03:00";"17.1";"744.9";"758.0";"-0.3";"94";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"16.1";"";"";"";"";"";"";
"04.07.2025 00:00";"18.4";"745.2";"758.2";"-0.4";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"16.3";"";"";"";"";"";"";
"03.07.2025 21:00";"21.1";"745.6";"758.5";"0.1";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"25.7";"";"";"";"";"";"20.0";"16.0";"Осадков нет";"12";"";"";"";"";
"03.07.2025 18:00";"25.6";"745.5";"758.3";"-0.1";"49";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"14.2";"Осадков нет";"12";"";"";"";"";
